rally_id,player,type,player_location_area,opponent_location_area,hit_area,backhand,aroundhead,player_location_x,player_location_y,opponent_location_x,opponent_location_y,ball_round,set,match_id,getpoint_player,roundscore_A,roundscore_B,consecutive_points,score_diff
0,A,1,8.0,8.0,7,1,0,0.07302121652607449,0.859690063933486,-0.32295969505514055,-0.8252679032472692,1,1,1,,1,0,0,0
0,B,2,8.0,8.0,7,1,0,-0.28774214959264105,-0.5836199397540934,0.004422909232850887,0.9891221710729367,2,1,1,A,1,0,0,0
1,A,1,8.0,8.0,7,1,0,-0.11815719852203634,0.8342477916462787,0.6938953761384166,-0.8209970529076115,1,1,1,,2,0,1,1
1,B,3,8.0,8.0,8,1,0,0.2739209667429419,-0.5925514064211225,0.0045257350127242925,0.9731277393124902,2,1,1,,2,0,1,1
1,A,4,8.0,8.0,8,0,0,-0.4720572474369823,1.3904032267922493,-0.09524896605568275,-1.0040498771052329,3,1,1,,2,0,1,1
1,B,5,8.0,8.0,8,1,0,-0.29336891932635883,-1.1407673169877084,-0.3125860518662498,1.317883283073299,4,1,1,,2,0,1,1
1,A,3,8.0,8.0,7,0,0,-0.47040290284586656,0.8329874775943669,-0.24569783429155218,-1.0291352451785423,5,1,1,,2,0,1,1
1,B,6,8.0,8.0,8,0,0,0.03889960092827667,-0.9068455078578802,-0.19651075685684855,0.9483109937139584,6,1,1,A,2,0,1,1
2,A,1,8.0,8.0,7,1,0,0.06652590575923303,0.8842830930602202,-0.36791839935930165,-0.8490659150160242,1,1,1,,2,1,2,2
2,B,7,8.0,8.0,8,1,0,-0.4825784243398664,-0.5956634178388539,-0.16055860791670903,0.8998086599548696,2,1,1,,2,1,2,2
2,A,8,7.0,8.0,7,0,0,-0.7756935568631369,0.5761371324038352,-0.28502413682078354,-0.7782153007916218,3,1,1,,2,1,2,2
2,B,4,9.0,8.0,3,0,0,-0.6105853931498693,-1.3984858848747794,-0.16375520195715934,1.1143527113391218,4,1,1,,2,1,2,2
