rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,hit_area,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,is_target_win,set,match_id,winner,loser,rally_id,rally_length
2,1.0,0:07:55,11881.0,2,0,0,short service,0.0,1,7,2.0,8,0.6243902439024389,-0.5574479166666665,,,8,165.3,627.18,8,231.9,309.37,1,1,1,0,1,1,6
2,2.0,0:07:56,11900.0,2,0,1,push/rush,0.0,1,8,2.0,8,-0.6439024390243903,1.489947916666667,,,8,197.5,353.23,8,175.4,653.84,1,1,1,0,1,1,6
2,3.0,0:07:56,11921.0,2,0,0,smash,0.0,0,8,1.0,8,-0.2536585365853659,-1.0660416666666668,,,8,136.3,733.96,8,167.2,274.22,1,1,1,0,1,1,6
2,4.0,0:07:57,11934.0,2,0,1,defensive shot,0.0,1,8,2.0,7,-0.6670731707317074,0.3051041666666669,,,8,150.9,247.97,8,149.4,720.03,1,1,1,0,1,1,6
2,5.0,0:07:58,11952.0,2,0,0,push/rush,0.0,0,7,1.0,8,0.076829268292683,-1.0155208333333334,,,8,136.4,626.93,8,154.9,269.41,1,1,1,0,1,1,6
2,6.0,0:07:58,11965.0,2,0,1,drive,0.0,0,8,1.0,10,2.026829268292683,1.8494791666666668,not pass over the net,0.0,8,178.2,292.89,8,158.9,649.08,1,1,1,0,1,1,6
3,1.0,0:08:11,12298.0,2,1,0,short service,0.0,1,7,1.0,8,-0.2268292682926828,-0.8366666666666666,,,8,180.5,636.78,8,144.8,303.98,0,1,1,0,1,2,27
3,2.0,0:08:12,12313.0,2,1,1,net shot,0.0,1,8,2.0,7,-0.6780487804878048,0.6114583333333332,,,8,135.4,352.63,8,161.8,639.76,0,1,1,0,1,2,27
3,3.0,0:08:13,12331.0,2,1,0,lob,0.0,0,7,1.0,3,-0.9121951219512194,-1.4791666666666667,,,7,111.4,577.62,8,151.6,317.58,0,1,1,0,1,2,27
3,4.0,0:08:14,12362.0,2,1,1,smash,0.0,0,3,2.0,8,0.4560975609756098,1.038333333333333,,,9,124.9,198.49,8,161.6,680.96,0,1,1,0,1,2,27
3,5.0,0:08:14,12372.0,2,1,0,defensive shot,0.0,1,8,2.0,7,0.8817073170731708,-0.4678124999999999,,,8,167.0,691.34,9,128.3,178.16,0,1,1,0,1,2,27
3,6.0,0:08:16,12400.0,2,1,1,lob,0.0,1,7,1.0,8,-0.7170731707317073,1.4967708333333334,,,8,225.1,338.26,8,196.4,676.77,0,1,1,0,1,2,27
3,7.0,0:08:17,12429.0,2,1,0,smash,0.0,0,8,2.0,8,-0.8365853658536585,-0.9950520833333334,,,9,150.1,774.67,8,171.5,278.94,0,1,1,0,1,2,27
3,8.0,0:08:17,12446.0,2,1,1,defensive shot,0.0,0,8,2.0,7,-0.8170731707317073,0.3138541666666666,,,8,129.5,294.7,8,151.7,715.79,0,1,1,0,1,2,27
3,9.0,0:08:18,12465.0,2,1,0,net shot,0.0,0,7,2.0,2,0.9560975609756098,-0.4238020833333333,,,8,110.4,648.67,8,150.1,283.37,0,1,1,0,1,2,27
3,10.0,0:08:19,12492.0,2,1,1,net shot,0.0,1,2,2.0,1,0.945121951219512,0.1980208333333332,,,7,227.0,393.7,8,185.4,649.3,0,1,1,0,1,2,27
3,11.0,0:08:20,12516.0,2,1,0,lob,0.0,1,1,1.0,3,-1.103658536585366,-1.426979166666667,,,7,233.2,558.21,8,230.4,338.31,0,1,1,0,1,2,27
3,12.0,0:08:22,12560.0,2,1,1,smash,0.0,0,3,2.0,8,0.651219512195122,0.9432291666666668,,,8,131.4,203.59,8,170.9,708.8,0,1,1,0,1,2,27
3,13.0,0:08:23,12577.0,2,1,0,defensive shot,0.0,1,8,2.0,8,0.852439024390244,-0.6127083333333333,,,8,233.4,685.99,8,160.1,218.82,0,1,1,0,1,2,27
3,14.0,0:08:24,12602.0,2,1,1,lob,0.0,1,8,1.0,8,-0.7926829268292683,1.4894270833333334,,,8,235.0,360.05,8,206.5,667.82,0,1,1,0,1,2,27
3,15.0,0:08:25,12631.0,2,1,0,drop,0.0,0,8,1.0,8,-0.7158536585365854,-0.6305208333333333,,,9,123.9,763.85,8,162.9,288.13,0,1,1,0,1,2,27
3,16.0,0:08:26,12655.0,2,1,1,drive,0.0,0,8,1.0,8,0.6121951219512194,0.9832812499999998,,,8,129.3,341.71,8,146.2,701.39,0,1,1,0,1,2,27
3,17.0,0:08:26,12670.0,2,1,0,defensive shot,0.0,1,8,1.0,9,-0.7304878048780489,-1.4517708333333337,,,8,204.4,673.83,8,183.6,306.63,0,1,1,0,1,2,27
3,18.0,0:08:28,12702.0,2,1,1,clear,0.0,0,9,1.0,4,-0.8999999999999999,1.5521354166666663,,,8,119.2,225.79,8,160.6,682.43,0,1,1,0,1,2,27
3,19.0,0:08:29,12735.0,2,1,0,clear,0.0,0,4,1.0,9,-0.8365853658536585,-1.3994791666666666,,,9,109.1,765.07,8,166.0,290.46,0,1,1,0,1,2,27
3,20.0,0:08:30,12766.0,2,1,1,smash,0.0,0,9,2.0,8,0.6609756097560974,1.0469270833333333,,,9,108.9,195.8,8,158.2,688.33,0,1,1,0,1,2,27
3,21.0,0:08:31,12783.0,2,1,0,defensive shot,0.0,1,8,2.0,2,0.9670731707317076,-0.4674479166666667,,,8,222.4,664.92,9,134.2,180.79,0,1,1,0,1,2,27
3,22.0,0:08:32,12810.0,2,1,1,lob,0.0,1,2,1.0,4,-0.9878048780487804,1.6682812499999995,,,8,227.9,362.13,8,211.5,664.83,0,1,1,0,1,2,27
3,23.0,0:08:33,12847.0,2,1,0,clear,0.0,0,4,1.0,3,-1.1780487804878048,-1.4670312499999998,,,9,134.4,790.2,8,173.9,290.54,0,1,1,0,1,2,27
3,24.0,0:08:35,12875.0,2,1,1,smash,0.0,0,3,2.0,8,-0.8134146341463415,1.1352604166666669,,,5,94.4,218.15,8,155.9,704.36,0,1,1,0,1,2,27
3,25.0,0:08:35,12886.0,2,1,0,defensive shot,0.0,0,8,1.0,5,-0.9609756097560976,-0.6315104166666666,,,8,155.4,704.36,3,55.5,177.4,0,1,1,0,1,2,27
3,26.0,0:08:36,12913.0,2,1,1,push/rush,0.0,0,5,1.0,9,0.7975609756097561,1.5716145833333333,,,8,118.1,343.78,8,132.7,682.21,0,1,1,0,1,2,27
3,27.0,00:08:37,12942.0,2,1,0,drop,0.0,1,9,2.0,2,1.0756097560975608,0.16015625,touched the net,1.0,6,251.7,756.78,8,202.8,274.58,0,1,1,0,1,2,27
4,1.0,0:08:57,13434.0,3,1,1,short service,0.0,1,7,1.0,8,-0.6658536585365853,0.6892187500000002,,,8,187.2,311.19,8,139.1,661.2,1,1,1,0,1,3,6
4,2.0,0:08:58,13456.0,3,1,0,net shot,0.0,1,8,2.0,5,-0.9853658536585366,-0.5752604166666666,,,8,123.1,622.04,8,172.7,288.23,1,1,1,0,1,3,6
