rally_id,player,type,player_location_area,opponent_location_area,hit_area,backhand,aroundhead,player_location_x,player_location_y,opponent_location_x,opponent_location_y,ball_round,set,match_id,getpoint_player,roundscore_A,roundscore_B,consecutive_points,score_diff
0,A,1,8.0,8.0,7,1,0,0.07302121652607449,0.859690063933486,-0.32295969505514055,-0.8252679032472692,1,1,1,,1,0,0,0
0,B,2,8.0,8.0,7,1,0,-0.28774214959264105,-0.5836199397540934,0.004422909232850887,0.9891221710729367,2,1,1,A,1,0,0,0
2,A,1,8.0,8.0,7,1,0,0.06652590575923303,0.8842830930602202,-0.36791839935930165,-0.8490659150160242,1,1,1,,2,1,2,2
2,B,7,8.0,8.0,8,1,0,-0.4825784243398664,-0.5956634178388539,-0.16055860791670903,0.8998086599548696,2,1,1,,2,1,2,2
2,A,8,7.0,8.0,7,0,0,-0.7756935568631369,0.5761371324038352,-0.28502413682078354,-0.7782153007916218,3,1,1,,2,1,2,2
2,B,4,9.0,8.0,3,0,0,-0.6105853931498693,-1.3984858848747794,-0.16375520195715934,1.1143527113391218,4,1,1,,2,1,2,2
2,A,5,8.0,9.0,8,1,0,-0.09768905005768806,1.1684573779535625,-0.568914834912094,-1.5043522462098167,5,1,1,,2,1,2,2
2,B,8,8.0,8.0,7,1,0,0.6103883425706529,-0.6705462365834842,0.26147388920280296,1.0925277033062553,6,1,1,,2,1,2,2
2,A,4,9.0,8.0,8,0,0,-0.3033790701273135,1.6024614903835885,-0.042772532529921095,-0.9794983577793571,7,1,1,,2,1,2,2
2,B,5,8.0,8.0,8,0,0,-0.5549687616982305,-0.8974022703442858,-0.28406448377300714,1.2958038332915638,8,1,1,,2,1,2,2
2,A,7,8.0,8.0,7,0,0,-0.7880675714571747,0.946219808326811,-0.3040546197475163,-0.9563941368238721,9,1,1,,2,1,2,2
2,B,7,7.0,8.0,2,1,0,0.6338395777009291,-0.38176872231077336,0.12660014872337638,0.9494532082696873,10,1,1,,2,1,2,2
